id,population,name
02001,761,Abengibre
02002,582,Alatoz
02003,172426,Albacete
02004,714,Albatana
02005,710,Alborea
02006,688,Alcadozo
02007,1217,Alcalá del Júcar
02008,1463,Alcaraz
02009,24800,Almansa
02010,2289,Alpera
02011,690,Ayna
02012,2346,Balazote
02014,427,"Ballestero, El"
02013,155,Balsa de Ves
02015,1903,Barrax
02016,634,Bienservida
02017,920,Bogarra
02018,1123,Bonete
02019,2889,"Bonillo, El"
02020,518,Carcelén
02021,1318,Casas de Juan Núñez
02022,380,Casas de Lázaro
02023,654,Casas de Ves
02024,4555,Casas-Ibáñez
02025,10115,Caudete
02026,1204,Cenizate
02029,4172,Chinchilla de Monte-Aragón
02027,351,Corral-Rubio
02028,139,Cotillas
02030,3711,Elche de la Sierra
02031,696,Férez
02032,310,Fuensanta
02033,2574,Fuente-Álamo
02034,1876,Fuentealbilla
02035,2509,"Gineta, La"
02036,111,Golosalvo
02037,30419,Hellín
02038,340,"Herrera, La"
02039,1222,Higueruela
02040,666,Hoya-Gonzalo
02041,377,Jorquera
02042,973,Letur
02043,1458,Lezuza
02044,1279,Liétor
02045,4671,Madrigueras
02046,1355,Mahora
02047,121,Masegoso
02048,1543,Minaya
02049,893,Molinicos
02050,108,Montalvos
02051,2092,Montealegre del Castillo
02052,550,Motilleja
02053,3627,Munera
02054,525,Navas de Jorquera
02055,1311,Nerpio
02056,2111,Ontur
02057,2422,Ossa de Montiel
02058,375,Paterna del Madera
02060,1428,Peñas de San Pedro
02059,333,Peñascosa
02061,713,Pétrola
02062,463,Povedilla
02901,2800,Pozo Cañada
02063,1698,Pozohondo
02064,409,Pozo-Lorente
02065,531,Pozuelo
02066,279,"Recueja, La"
02067,1410,Riópar
02068,390,Robledo
02069,15748,"Roda, La"
02070,523,Salobre
02071,1232,San Pedro
02072,1819,Socovos
02073,6460,Tarazona de la Mancha
02074,7822,Tobarra
02075,1976,Valdeganga
02076,368,Vianos
02077,63,Villa de Ves
02078,1128,Villalgordo del Júcar
02079,4082,Villamalea
02080,628,Villapalacios
02081,25589,Villarrobledo
02082,110,Villatoya
02083,234,Villavaliente
02084,359,Villaverde de Guadalimar
02085,337,Viveros
02086,2818,Yeste
03002,4729,Agost
03003,565,Agres
03004,921,Aigües
03005,11756,Albatera
03006,1291,Alcalalí
03007,221,Alcocer de Planes
03008,194,Alcoleja
03009,59198,Alcoy/Alcoi
03010,399,Alfafara
03011,21494,"Alfàs del Pi, l'"
03012,3222,Algorfa
03013,1391,Algueña
03014,330525,Alicante/Alacant
03015,20138,Almoradí
03016,119,Almudaina
03017,517,"Alqueria d'Asnar, l'"
03018,21739,Altea
03019,20482,Aspe
03001,689,"Atzúbia, l'"
03020,129,Balones
03021,7108,Banyeres de Mariola
03022,158,Benasau
03023,1712,Beneixama
03024,5364,Benejúzar
03025,1920,Benferri
03026,1917,Beniarbeig
03027,202,Beniardá
03028,1164,Beniarrés
03030,1117,Benidoleig
03031,66642,Benidorm
03032,114,Benifallim
03033,158,Benifato
03029,419,Benigembla
03034,3163,Benijófar
03035,769,Benilloba
03036,100,Benillup
03037,494,Benimantell
03038,427,Benimarfull
03039,99,Benimassot
03040,384,Benimeli
03041,11000,Benissa
03042,4104,"Benitachell/Poble Nou de Benitatxell, el"
03043,3647,Biar
03044,6724,Bigastro
03045,412,Bolulla
03046,2975,Busot
03049,18497,Callosa de Segura
03048,7146,Callosa d'en Sarrià
03047,19591,Calp
03050,27384,"Campello, el"
03051,440,"Campo de Mirra/Camp de Mirra, el"
03052,1245,Cañada
03053,9859,Castalla
03054,449,Castell de Castells
03075,220,"Castell de Guadalest, el"
03055,8551,Catral
03056,11432,Cocentaina
03057,207,Confrides
03058,7193,Cox
03059,28691,Crevillent
03061,1750,Daya Nueva
03062,672,Daya Vieja
03063,41465,Dénia
03064,7264,Dolores
03065,227659,Elche/Elx
03066,52745,Elda
03067,107,Facheca
03068,58,Famorca
03069,6090,Finestrat
03077,2493,"Fondó de les Neus, el/Hondón de las Nieves"
03070,3995,Formentera del Segura
03072,452,Gaianes
03071,5825,Gata de Gorgos
03073,267,Gorga
03074,2461,Granja de Rocamora
03076,15386,Guardamar del Segura
03078,1165,Hondón de los Frailes
03079,23365,Ibi
03080,1939,Jacarilla
03082,27225,Jávea/Xàbia
03083,7057,Jijona/Xixona
03085,1110,Llíber
03084,627,"Lorcha/Orxa, l'"
03086,221,Millena
03088,7500,Monforte del Cid
03089,12272,Monóvar/Monòver
03903,4912,"Montesinos, Los"
03091,486,Murla
03092,9307,Muro de Alcoy
03090,24487,Mutxamel
03093,26054,Novelda
